# Muestra;Proceso - Gestión Keys;Proceso - Gestión Sensores;Proceso - Gestión Tableros;Proceso - Predicción Manual;Proceso - Predicción Masiva;Proceso - Predicción Tiempo Real;
64;4163;4605;7310;8397;11756;11756;
65;3848;4519;6335;8576;11778;11778;
66;704;3925;5843;7651;11121;11121;
67;4250;4618;5121;7011;10526;10526;
68;5070;4915;6692;8251;11855;11855;
69;4967;5996;7676;8760;12270;12270;
70;4171;4096;5626;8297;11666;11666;
71;4349;4902;7666;8432;11834;11834;
72;4095;4077;8038;8453;12398;12398;
73;5027;3989;5123;8480;11704;11704;
74;4182;4981;4745;8120;12072;12072;
75;5199;5702;6100;7982;11535;11535;
76;3968;3907;6278;8119;12069;12069;
77;4727;5296;7307;7693;10950;10950;
78;5137;4453;7173;8693;11762;11762;
79;4923;6413;5614;8393;11570;11570;
80;4366;629;7533;8681;12368;12368;
81;4347;4381;6330;8152;11186;11186;
82;4910;5114;4906;7056;10515;10515;
83;4212;372;7081;7531;11447;11447;
84;4590;4343;5243;8319;11626;11626;
85;4176;4131;8611;7250;11154;11154;
86;4660;3522;7913;7618;10870;10870;
87;5569;4566;5458;7865;11581;11581;
88;5571;5179;6826;8064;11570;11570;
89;4165;6008;6640;8045;11222;11222;
90;3957;4852;6181;9038;12253;12253;
91;4631;5363;5796;8645;12236;12236;
92;5781;4090;7758;7016;10919;10919;
93;617;4876;5620;6991;10355;10355;
94;3414;3952;4491;7503;11466;11466;
95;4584;565;6914;8390;11942;11942;
96;3796;3968;7457;8985;12328;12328;
97;4967;4057;6100;7636;11240;11240;
98;3780;3932;7790;7987;11475;11475;
99;4934;4063;6411;8370;11853;11853;
100;610;4562;6003;7109;10714;10714;
101;4674;3193;6380;7708;11253;11253;
102;3702;4905;7580;8285;11933;11933;
103;3624;4246;5952;8333;11583;11583;
104;4390;3498;4709;7537;11447;11447;
105;3913;3816;6520;8156;11933;11933;
106;3275;3404;7387;8681;12248;12248;
107;4586;4655;5760;7415;11281;11281;
108;666;4909;6026;8011;11974;11974;
109;4696;4199;4969;7624;10715;10715;
110;4456;3203;4901;8892;12347;12347;
111;4093;4775;6897;7376;10586;10586;
112;4765;3756;5458;8471;12217;12217;
113;4857;3863;7850;8168;11855;11855;
114;4842;5014;5754;8225;12128;12128;
115;5027;4022;7500;8951;12489;12489;
116;3832;4228;5363;8247;11735;11735;
117;4852;4095;7279;8282;11663;11663;
118;4082;3537;5049;8609;12270;12270;
119;5049;4164;7376;7288;10565;10565;
120;4285;4685;4822;7952;11306;11306;
121;4695;3583;6250;7361;11040;11040;
122;3393;4501;7878;8690;11762;11762;
123;3932;598;3702;8603;12217;12217;
124;3924;3364;6498;7367;11030;11030;
125;4404;3941;6335;8548;12278;12278;
126;4867;4618;4571;7214;10332;10332;
127;5757;4153;7897;8432;11483;11483;
128;4491;3745;7029;8156;11788;11788;
129;4407;4093;6026;8019;11449;11449;
130;4116;3357;5401;7591;11271;11271;
131;4530;3234;5754;7433;10486;10486;
132;4077;3497;7026;7641;11222;11222;
133;5014;4081;7538;7866;11077;11077;
134;603;3149;5171;8376;11993;11993;
135;4352;4453;5883;8313;11815;11815;
136;3778;4082;4583;8247;11681;11681;
137;3496;3497;6785;8603;12177;12177;
